Chain,HappyTokenPool,Qualification,v1Block,v2Block
mainnet,0xc2CFbF22d6Dc87D0eE18d38d73733524c109Ff46,0x4dC5f343Fe57E4fbDA1B454d125D396A3181272c,12689616,12766513
ropsten,0xcdE281B32b629f2e89E5953B674E1E507e6dabcF,0xd5e6434bde165062b3d9572DEFd6393c7B3E2902,10468221,10572050
rinkeby,0xBe62f1805C43559cC62f9326103354080588B158,0x8440b99B1Df5D4B61957c8Ce0a199487Be3De270,,
bsc,0x96c7D011cdFD467f551605f0f5Fce279F86F4186,0xAb7B1bE4233A04e5C43a810E75657ECED8E5463B,8508077,8885927
bsc_test,0xbc558E7683F79FAAE236c1083671396cbB2Ac242,0xaaC2362f2DC523E9B37B1EE2eA57110e1Bd63F59,,
matic,0xF9F7C1496c21bC0180f4B64daBE0754ebFc8A8c0,0x2cf91AD8C175305EBe6970Bd8f81231585EFbd77,16002769,16516643
arbitrum_rinkeby,0x9b3649eC8C9f68484acC76D437B145a4e58Bf2A2,0xEbd753E66649C824241E63894301BA8Db5DBF5Bb,,708696
arbitrum,0x71834a3FDeA3E70F14a93ED85c6be70925D0CAd9,0x913975af2Bb8a6Be4100D7dc5e9765B77F6A5d6c,,102022
xdai,0x913975af2Bb8a6Be4100D7dc5e9765B77F6A5d6c,0x71834a3FDeA3E70F14a93ED85c6be70925D0CAd9,,17865755
goerli,0x3475255Fa26434B680DAe20D6469222C135f33Ea,0x957DCb3918E33dD80bd3db193ACb2A90812fE615,,6028660
fantom,0x981be454a930479d92C91a0092D204b64845A5D6,0x83D6b366f21e413f214EB077D5378478e71a5eD2,,25071597
celo,0x54a0A221C25Fc0a347EC929cFC5db0be17fA2a2B,0x2cB220F925E603A04BEE05F210252120deBA29d7,,10406511
avalanche,0x02Ea0720254F7fa4eca7d09A1b9C783F1020EbEF,0x54a0A221C25Fc0a347EC929cFC5db0be17fA2a2B,,8289892
optimism_kovan,0x88edAC7aEDEeAfaD15439010B0bdC0D067763571,0x57E2AAB712E9c61CA55A6402223DbEe3d4eE09aa,,47716
optimism,0x71834a3FDeA3E70F14a93ED85c6be70925D0CAd9,0x913975af2Bb8a6Be4100D7dc5e9765B77F6A5d6c,,8994
aurora,0x2cf91AD8C175305EBe6970Bd8f81231585EFbd77,0x578a7Fee5f0D8CEc7d00578Bf37374C5b95C4b98,,57350598
fuse,0xF9F7C1496c21bC0180f4B64daBE0754ebFc8A8c0,0x2cf91AD8C175305EBe6970Bd8f81231585EFbd77,,14951572
boba,0x981be454a930479d92C91a0092D204b64845A5D6,0x83D6b366f21e413f214EB077D5378478e71a5eD2,,290600
moonriver,0x981be454a930479d92C91a0092D204b64845A5D6,0x83D6b366f21e413f214EB077D5378478e71a5eD2,,1314566
conflux_espace_test,0x83D6b366f21e413f214EB077D5378478e71a5eD2,0x96c7D011cdFD467f551605f0f5Fce279F86F4186,,66092470
conflux_espace,0x066804d9123bf2609ed4a4a40b1177a9c5a9ed51,0x05ee315E407C21a594f807D61d6CC11306D1F149,,37722805
harmony,0x5B966f3a32Db9C180843bCb40267A66b73E4f022,0x02Ea0720254F7fa4eca7d09A1b9C783F1020EbEF,,24133305
harmony_test,0x578a7Fee5f0D8CEc7d00578Bf37374C5b95C4b98,0x812463356F58fc8194645A1838ee6C52D8ca2D26,,22744597
metis_test,0x71834a3FDeA3E70F14a93ED85c6be70925D0CAd9,,,5207086
metis,0x5B966f3a32Db9C180843bCb40267A66b73E4f022,,,1701875
kardia,0x224e8327182a85e511A08C63C4341efB0460f36e,0x0cE6df8171AD4B23fe162FFA01DEC8595ED1f7cc,,7566530
astar,0x1D720657e6B11F468BACE2d513b10C8CbfF247Cd,0xdd2Cf3fF67769d49613587CcE8A452D3b58AfC33,,915536
